010612 Les mammifères; vivent, les baleines, les dauphins et les marsouins (mammifères de l'ordre des cétacés); lamantins et dugongs (mammifères de l'ordre des Siréniens); phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)
010613 Les mammifères; vivants, chameaux et autres camélidés (camélidés)
010614 Les mammifères; vivre, lapins et lièvres
010619 Les mammifères; vivants, autres que les primates, les baleines, les dauphins, les marsouins (mammifères de l'ordre des cétacés); lamantins, dugongs (mammifères de l'ordre des Siréniens); phoques, lions de mer, morses (mammifères du sous-ordre Pinnipedia), chameaux, autres camélidés, lapins et lièvres
010620 Reptiles vivant (y compris les serpents et les tortues)
010631 Des oiseaux; vivre, les oiseaux de proie
010632 Des oiseaux; vivants, Psittaciformes
010633 Des oiseaux; vivre, autruches; émeus (Dromaius novaehollandiae)
010639 Des oiseaux; vivants, autres que les oiseaux de proie, les Psittaciformes, les autruches et les émeus (Dromaius novaehollandiae)
010641 Insectes; vivre, abeilles
010649 Insectes; vivant, autre que les abeilles
010690 Animaux; vivre, n.c.a. au chapitre 01, autres que les mammifères, les reptiles, les oiseaux et les insectes
02 VIANDES ET ABATS DE VIANDE COMESTIBLES
0201 Viande de bovins; frais ou réfrigéré
020110 Moi à; de bovins, de carcasses et de demi-carcasses, fraîches ou réfrigérées
020120 Moi à; des animaux de l'espèce bovine, découpés avec os (à l'exclusion des carcasses et des demi-carcasses), frais ou réfrigérés
020130 Moi à; de bovins, découpés désossés, frais ou réfrigérés
0202 Viande de bovins; congelé
020210 Moi à; des bovins, des carcasses et des demi-carcasses, congelés
020220 Moi à; des animaux de l'espèce bovine, découpés avec os (à l'exclusion des carcasses et des demi-carcasses), congelés
020230 Moi à; de bovins, découpées désossées, congelées
0203 Viande de porc; frais, réfrigéré ou congelé
020311 Moi à; de porcs, de carcasses et de demi-carcasses, à l'état frais ou réfrigéré
020312 Moi à; de porcins, jambons, épaules et leurs morceaux, non désossés, frais ou réfrigérés
020319 Moi à; de porcs, n.c.a. dans l'article no. 0203.1, à l'état frais ou réfrigéré
020321 Moi à; de porcs, de carcasses et de demi-carcasses, congelés
020322 Moi à; de porcins, jambons, épaules et leurs morceaux, avec os, congelés
020329 Moi à; de porcs, n.c.a. dans l'article no. 0203.2, congelé
0204 Viande de mouton ou de chèvre; frais, réfrigéré ou congelé
020410 Moi à; de moutons, carcasses d'agneaux et demi-carcasses, à l'état frais ou réfrigéré
020421 Moi à; de moutons, de carcasses et de demi-carcasses (à l'exclusion des carcasses et demi-carcasses d'agneaux), à l'état frais ou réfrigéré
020422 Moi à; de moutons (y compris l'agneau), coupés avec de l'os (à l'exclusion des carcasses et des demi-carcasses), frais ou réfrigérés
020423 Moi à; de moutons (y compris l'agneau), morceaux désossés, frais ou réfrigérés
020430 Moi à; de moutons, de carcasses d'agneaux et de demi-carcasses, congelés
020441 Moi à; de moutons, de carcasses et de demi-carcasses (à l'exclusion des carcasses et des demi-carcasses d'agneaux), congelés
020442 Moi à; de moutons (y compris l'agneau), coupes avec os (à l'exclusion des carcasses et des demi-carcasses), congelées
020443 Moi à; de mouton (y compris l'agneau), coupes désossées, congelées
020450 Moi à; de chèvres, fraîches, réfrigérées ou congelées
0205 Moi à; de chevaux, ânes, mulets ou bardots, frais, réfrigérés ou congelés
020500 Moi à; de chevaux, ânes, mulets ou bardots, frais, réfrigérés ou congelés
0206 Abats comestibles d'animaux de l'espèce bovine, porcine, ovine, caprine, chevaline, asine, mulet ou bardane; frais, réfrigéré ou congelé
020610 Abats, comestibles; de bovins, frais ou réfrigérés
020621 Abats, comestibles; de bovins, langues, congelés
020622 Abats, comestibles; des bovins, des foies, congelés
020629 Abats, comestibles; des animaux de l'espèce bovine (autres que langues et foies), congelés
020630 Abats, comestibles; de porcs, frais ou réfrigérés
020641 Abats, comestibles; des porcs, des foies, congelés
020649 Abats, comestibles; de porcs, (autres que les foies), congelés
020680 Abats, comestibles; de moutons, de chèvres, de chevaux, d'ânes, de mulets ou de bardots, frais ou réfrigérés
020690 Abats, comestibles; de moutons, de chèvres, de chevaux, d'ânes, de mules ou de bardots, congelés
0207 Viande et abats comestibles de volaille; de la volaille du no. 0105, (c'est-à-dire des volailles de l'espèce Gallus domesticus), frais, réfrigérés ou congelés
020711 Viande et abats comestibles; de volailles de l'espèce Gallus domesticus, non découpées en morceaux, fraîches ou réfrigérées
020712 Viande et abats comestibles; de volailles de l'espèce Gallus domesticus, non découpées en morceaux, congelées
020713 Viande et abats comestibles; de volailles de l'espèce Gallus domesticus, découpées et abats, à l'état frais ou réfrigéré
020714 Viande et abats comestibles; de volailles de l'espèce Gallus domesticus, coupes et abats, congelés
020724 Viande et abats comestibles; de dindes, non découpées en morceaux, fraîches ou réfrigérées
020725 Viande et abats comestibles; de dindes, non découpées en morceaux, congelées
