iddoc,context,range,text,category,annotation
12559_0,"Nous vous proposons dans un cadre spacieux, tendance et chaleureux, des activités sportives innovantes : salle de cours à la demande, espace Cardio, Aquagym, Circuit Training aquabike et bientôt le Sauna pour vous détendre.
","{'beg': 92, 'end': 102}",innovantes,['fem_0'],False
12559_8,"Idéal pour ceux et celles qui préfèrent faire du sport en groupe.
Pour réaliser un bilan physique et vous initier à la pratique de la musculation, demandez votre séance de coaching personnalisée avec l’un de nos coachs certifiés.","{'beg': 11, 'end': 25}",ceux et celles,['coo_1'],True
12566_62,"Pour comble de malchance, à la Villette, vous avez reçu un cours magistral sur la bonne gouvernance par le dialogue et sur les défis de notre temps.","{'beg': 31, 'end': 39}",Villette,['fem_0'],False
12566_111,"0
Amir Abdou confirme qu’il reste en équipe nationale et annonce qu’il n’y aura aucun nouveau joueur	
6 décembre 2021 0
Ingénieure agricole, Zalhata s’est mis à la culture vivre à Maweni Mboude	
6 décembre 2021 0
ACTU EN BREF
","{'beg': 120, 'end': 130}",Ingénieure,['fem_0'],True
12566_131,c est comme ça bom msé moindjie woutsikiri motra pewou haourosa biyo a votre carriere et votre age ne merite,"{'beg': 77, 'end': 85}",carriere,['fem_0'],False
12569_19,"Rédigez des posts originaux sur vos derniers projets, vos idées les plus innovantes, ou sur la culture de votre société.","{'beg': 73, 'end': 83}",innovantes,['fem_0'],False
12571_252,"Afficher tout Brioches tranchées Brioches entières et spécialités Briochettes, Pancakes","{'beg': 66, 'end': 77}",Briochettes,['fem_0'],False
12571_272,tout Café dosettes,"{'beg': 10, 'end': 18}",dosettes,['fem_0'],False
12571_296,"Afficher tout Brioches tranchées Brioches entières et spécialités Briochettes, Pancakes Pains au lait Pains au chocolat","{'beg': 66, 'end': 77}",Briochettes,['fem_0'],False
12571_418,"tout Lingettes, cotons Toilette et soins bébé","{'beg': 5, 'end': 14}",Lingettes,['fem_0'],False
12571_466,", lingette Peaux jeunes
","{'beg': 2, 'end': 10}",lingette,['fem_0'],False
12571_494,tout Eau de javel Lingettes Multiusages Cuisine et salle de bain WC Vitres,"{'beg': 18, 'end': 27}",Lingettes,['fem_0'],False
12578_121,"Andre Kranke est Department Head Trends and Technology Research, Corporate Research & Development chez DACHSER depuis 2019 et dirige le projet d'innovation ""Climate Protection "".","{'beg': 157, 'end': 164}",Climate,['fem_0'],False
12588_128,Le passage du donépézil dans le lait maternel n'est pas documenté et il n'y a pas d'étude chez la femme allaitante.,"{'beg': 104, 'end': 114}",allaitante,['fem_0'],False
12589_2,"8) mai 2020 (6) avril 2020 (6) mars 2020 (8) février 2020 (3) janvier 2020 (5) décembre 2019 (7) novembre 2019 (5) octobre 2019 (4) septembre 2019 (7) août 2019 (1) juillet 2019 (6) juin 2019 (6) mai 2019 (8) avril 2019 (2) mars 2019 (6) février 2019 (4) janvier 2019 (6) décembre 2018 (6) novembre 2018 (4) octobre 2018 (5) septembre 2018 (5) août 2018 (1) juillet 2018 (6) juin 2018 (10) mai 2018 (7) avril 2018 (3) mars 2018 (12) février 2018 (3) janvier 2018 (7) décembre 2017 (6) novembre 2017 (8) octobre 2017 (4) septembre 2017 (6) août 2017 (2) juillet 2017 (8) juin 2017 (12) mai 2017 (10) avril 2017 (5) mars 2017 (7) février 2017 (6) janvier 2017 (5) décembre 2016 (6) novembre 2016 (4) octobre 2016 (5) septembre 2016 (5) août 2016 (2) juillet 2016 (7) juin 2016 (11) mai 2016 (12) avril 2016 (5) mars 2016 (9) février 2016 (5) janvier 2016 (8) décembre 2015 (9) novembre 2015 (10) octobre 2015 (6) septembre 2015 (8) août 2015 (4) juillet 2015 (5) juin 2015 (11) mai 2015 (15) avril 2015 (5) mars 2015 (6) février 2015 (5) janvier 2015 (8) décembre 2014 (5) novembre 2014 (8) octobre 2014 (6) septembre 2014 (8) août 2014 (4) juillet 2014 (6) juin 2014 (17) mai 2014 (14) avril 2014 (8) mars 2014 (6) février 2014 (12) janvier 2014 (9) décembre 2013 (10) novembre 2013 (9) octobre 2013 (5) septembre 2013 (10) août 2013 (6) juillet 2013 (7) juin 2013 (20) mai 2013 (11) avril 2013 (9) mars 2013 (8) février 2013 (9) janvier 2013 (14) décembre 2012 (13) novembre 2012 (7) octobre 2012 (9) septembre 2012 (13) août 2012 (5) juillet 2012 (9) juin 2012 (20) mai 2012 (12) avril 2012 (9) mars 2012 (15) février 2012 (8) janvier 2012 (16) décembre 2011 (12) novembre 2011 (13) octobre 2011 (12) septembre 2011 (17) août 2011 (6) juillet 2011 (5) juin 2011 (18) mai 2011 (25) avril 2011 (10) mars 2011 (11) février 2011 (14) janvier 2011 (16) décembre 2010 (10) novembre 2010 (17) octobre 2010 (13) septembre 2010 (20) août 2010 (7) juillet 2010 (6) juin 2010 (9) mai 2010 (11) avril 2010 (10) mars 2010 (21) février 2010 (10) janvier 2010 (21) décembre 2009 (16) novembre 2009 (19) octobre 2009 (18) septembre 2009 (18) août 2009 (4) juillet 2009 (8) juin 2009 (18) mai 2009 (11)
Pour rester en contact
","{'beg': 1071, 'end': 1276}",novembre 2014 (8) octobre 2014 (6) septembre 2014 (8) août 2014 (4) juillet 2014 (6) juin 2014 (17) mai 2014 (14) avril 2014 (8) mars 2014 (6) février 2014 (12) janvier 2014 (9) décembre 2013 (10) novembre,['coo_1'],False
12590_34,"Nos dernières publications
Établissements équestres : 4 éléments à personnaliser
Pulvérisation agricole : comment fonctionne la pompe électrique 12v ?
Filière CRC en 2021 : vers une agriculture céréalière responsable
Chanvre : comment extraire le CBD de la plante ?
","{'beg': 194, 'end': 204}",céréalière,['fem_0'],False
12591_3,"Le 23 janvier 2019, EDF et CONERGIES GROUP ont annoncé la conclusion d' un partenariat visant à développer et déployer ensemble des solutions d' efficacité énergétique innovantes dans les domaines du froid et du traitement d' air, à destination des clients industriels et tertiaires en Afrique de l' Ouest.
Edf.fr
Groupe EDF
Espaces dédiés
Journalistes
Tous les communiqués de presse
EDF réaffirme le rôle du nucléaire dans la transition écologique et annonce la signature de plusieurs accords de coopération à l'occasion du World Nuclear Exhibition.","{'beg': 168, 'end': 178}",innovantes,['fem_0'],False
12591_58,Les enjeux et tendances émergentes sont identifiés et analysés;,"{'beg': 24, 'end': 34}",émergentes,['fem_0'],False
12591_65,Les enjeux et tendances émergentes sont identifiés et analysés;,"{'beg': 24, 'end': 34}",émergentes,['fem_0'],False
12602_5,"Nous contacter
zones d intervention
Archives de la catégorie: casse auto enlevement gratuit 92
On donne le soin à nos clients de faire eux-mêmes leur demande en leur conseillant afin qu’ils sachent qu’épaviste 92 n’agit que pour leur intérêt.
Homepage
a automobile pour la casse 93
voiture en panne en sous sol que faire accidentee gagee pour pieces
Archives de la catégorie: ""casse auto enlevement gratuit 92""
casse auto enlevement gratuit 92
lire la suite
première
précédent
17
18
epaveo les derniers artiles
rachat de voiture epave neuilly sur seine 7 février 2019
","{'beg': 321, 'end': 331}",accidentee,['fem_0'],False
12602_7,Catégories Sélectionner une catégoriea automobile pour la casse 93 casse pour voiture en panne accidentee brulee le pres saint gervais destruction epave gratuit aubervilliers voiture pour la casse sous sol enlevement epave gratuit drancy,"{'beg': 95, 'end': 105}",accidentee,['fem_0'],False
