iddoc,context,range,text,category,annotation
765,"rsu
Membre Pilier Sénior
29,7k
Partager
Posté(e)","{'beg': 95, 'end': 102}",Posté(e,"['fle_0', 'fle_1']",True
731,"bitude de la cup, je la déconseille aux débutant.es pour ce motif.","{'beg': 158, 'end': 169}",débutant.es,"['fle_0', 'fle_1']",True
1038,"Rhône CDI
Rattaché(e) au Responsable du Service Client, vous","{'beg': 10, 'end': 20}",Rattaché(e,"['fle_0', 'fle_1']",True
763,"es sites
More sharing options...
Yooyoo
Posté(e) le 17 juin 2009
Yooyoo
Membre Pilier S","{'beg': 128, 'end': 135}",Posté(e,"['fle_0', 'fle_1']",True
269,"Gille-Belova et Jacques Rupnik
39 min
L'Invité(e) des Matins
Poutine : la tension comme ","{'beg': 71, 'end': 79}",Invité(e,"['fle_0', 'fle_1']",True
1360,"nde : étudiant.e.s, professionnel.le.s, curieux.ses et engagé.e.s.","{'beg': 225, 'end': 236}",curieux.ses,"['fle_0', 'fle_1']",True
1542,"nférence s'accompagne d'un diaporama en fondu-enchaîné sonorisé intitulé ""L'Etna, de glace et ","{'beg': 45, 'end': 59}",fondu-enchaîné,['fle_0'],False
763,"...
Invité Yaka-de-retour
Posté(e) le 17 juin 2009
Invité Yaka-de-retour
","{'beg': 26, 'end': 33}",Posté(e,"['fle_0', 'fle_1']",True
204,aire en renouvelant les contrats de ses agent.es non-titulaires.,"{'beg': 161, 'end': 169}",agent.es,"['fle_0', 'fle_1']",True
763,"...
Invité Shintoku
Posté(e) le 12 juin 2009
Invité Shintoku
Invité","{'beg': 20, 'end': 27}",Posté(e,"['fle_0', 'fle_1']",True
776,Pont Saint-Esprit!,"{'beg': 5, 'end': 17}",Saint-Esprit,['fle_0'],False
1412,")
Décapsuler (certain(e)s vont devoir encore s'entrainer)
Encore ","{'beg': 14, 'end': 25}",certain(e)s,"['fle_0', 'fle_1']",True
758,u encore le vin rouge bordelais : l’AOP Saint-Emilion,"{'beg': 115, 'end': 128}",Saint-Emilion,['fle_0'],False
765,"rsu
Membre Pilier Sénior
29,7k
Partager
Posté(e) le 6 mai 2010
Je suis exactement d'acc","{'beg': 559, 'end': 566}",Posté(e,"['fle_0', 'fle_1']",True
763,"Mimipinson74
Membre Senior
285
Partager
Posté(e)","{'beg': 56, 'end': 63}",Posté(e,"['fle_0', 'fle_1']",True
206,"2015
Qu’Antoine de Saint-Exupéry se rassure, Le Petit Prince est entre d","{'beg': 19, 'end': 32}",Saint-Exupéry,['fle_0'],False
839,"de du travail, organisations d’aide aux migrant·e·s, mouvements antifascistes et partis pol","{'beg': 291, 'end': 302}",migrant·e·s,"['fle_0', 'fle_1']",True
597,"Désinscription
Restez connecté(e)s
Suivez-nous sur Twitter
Rejoignez-nous ","{'beg': 22, 'end': 34}",connecté(e)s,"['fle_0', 'fle_1']",True
1360,"rticipation s’adresse à tout le monde : étudiant.e.s, professionnel.le.s, curieux.ses et eng","{'beg': 191, 'end': 203}",étudiant.e.s,"['fle_0', 'fle_1']",True
273,"Une situation ‘TREMPLIN’ en fait…
🌿 Certain(e)s se diront même : “Mais pourquoi faire l","{'beg': 36, 'end': 47}",Certain(e)s,"['fle_0', 'fle_1']",True
515,"© Henri Jaffeux
","{'beg': 8, 'end': 15}",Jaffeux,['neu_0'],False
1363,Boeuf Brie de Meaux Brocoli Butternut Cabillaud,"{'beg': 14, 'end': 19}",Meaux,['neu_0'],False
1304,"Projet de recherche : projet Parex
Personne :","{'beg': 29, 'end': 34}",Parex,['neu_0'],False
163,Demander CARFAX Canada,"{'beg': 9, 'end': 15}",CARFAX,"['fle_1', 'neu_0']",False
163,Laissez un rapport CARFAX,"{'beg': 19, 'end': 25}",CARFAX,"['fle_1', 'neu_0']",False
336,"d�nomination des partitions utilis� par Linux, le partage d'espace disque","{'beg': 43, 'end': 48}",Linux,['neu_0'],False
685,"and digital solutions to help you solve complex challenges.
We’ve built our reputation","{'beg': 95, 'end': 102}",complex,['neu_0'],False
349,"each
Place aux produits makeup de cette GlossyBox Février 2016 avec un crayon/ jumbo à lè","{'beg': 65, 'end': 74}",GlossyBox,"['fle_1', 'neu_0']",False
