text,occ
et,865
et les,44
/la,8
ou,91
(ou une,7
_,73
/ trop,1
et à,65
et tous,15
et la,2
ou la,9
ou de,18
",",44
(,1
et amis,1
et des,27
et tissus,1
ou d,1
", la",1
(ou,2
et de,22
et à,1
et d,24
/,21
ou une,12
", chers",3
", cher",7
ou un,2
ou d'un,1
et aux,9
de,7
(et pas,1
/ éducatrice,4
", chère",4
", les",5
et toutes,4
", Chers",2
", de",3
et pour,2
et ceux,2
et nombreux,2
ou d'une,1
/ de la,1
(et,3
et du,1
et à tous les,1
lecteur,1
et les acteurs,1
ou des,3
ou sa,1
/une,1
"“, et non ”",1
ou l,5
la,1
et les jeunes,1
", ses",1
battue ou un,1
Et,1
et tous les,3
/à la,1
ou une utilisatrice,4
et en,1
", une",2
toutes et,1
ou le,2
et de l,1
", un",3
et à tous,1
tantes et,1
/travailleuses grecs,1
collaborateurs ou,1
étrangères ou,1
", Restaurants",1
"fédérale Eveline Widmer-Schlumpf, cheffe de la délégation suisse, le",1
ou hommes,1
cantonal et la,2
ou d’un,1
ET,2
&,2
et nombreuses professionnel.le.s,1
à mon cœur ou,1
ou de la,1
et chers,1
lecteurs et chères,1
(ou ma,1
(surtout des,1
", des",2
