label,ext,occ
coo,ch,78
coo,ca,109
coo,org,138
coo,tn,1
coo,group,3
coo,fr,513
coo,com,478
coo,me,1
coo,net,32
coo,site,1
coo,it,4
coo,be,35
coo,care,1
coo,blog,11
coo,expert,1
coo,team,5
coo,info,20
coo,eu,9
coo,club,5
coo,id,1
coo,bzh,12
coo,int,6
coo,co,2
coo,ma,1
coo,tv,1
coo,pl,3
coo,biz,1
coo,online,1
coo,de,1
coo,photos,1
coo,fun,1
coo,brussels,1
coo,re,1
coo,pro,1
coo,quebec,1
coo,mt,1
fle,ca,55
fle,fr,849
fle,net,107
fle,com,695
fle,es,2
fle,group,4
fle,org,271
fle,be,113
fle,eu,18
fle,ch,146
fle,info,23
fle,news,1
fle,de,2
fle,nl,7
fle,cc,1
fle,blog,7
fle,ma,3
fle,bzh,9
fle,club,2
fle,co,1
fle,lu,5
fle,int,5
fle,it,1
fle,media,1
fle,biz,3
fle,app,1
fle,schmidt,1
fle,re,1
fle,me,1
fle,agency,2
fle,credit,1
fle,paris,2
fle,io,1
fle,pro,1
fle,science,1
fem,fr,287
fem,net,26
fem,com,449
fem,org,100
fem,ch,24
fem,be,19
fem,ca,76
fem,pl,1
fem,blog,8
fem,me,2
fem,media,3
fem,nl,2
fem,ru,2
fem,it,1
fem,eu,6
fem,info,30
fem,corsica,1
fem,xyz,1
fem,tk,1
fem,asia,1
fem,club,2
fem,se,1
fem,cn,1
neu,fr,35
neu,org,80
neu,be,2
neu,info,17
neu,com,114
neu,blog,2
neu,net,7
neu,ca,6
neu,ch,3
