end,signs,occ
(e),( ),869
(ne),( ),30
.e,.,123
(ne)s,( ),5
-e-,-,2
/,/,10
.es,.,48
.le,.,3
.ne.s,.,27
(e)s,( ),138
·e,·,111
·e·s,·,118
(E),( ),12
-nes,-,2
-es,-,19
.e.s,.,280
⸱e,⸱,1
·es,·,68
-e-s,-,194
(se),( ),24
·ère·s,·,5
.le.s,.,7
.les,.,3
.rice.s,.,12
(le)s,( ),6
-ne-s,-,4
·rice,·,14
·le·s,·,8
(e,(,5
(te),( ),1
(trice),( ),3
-le-s,-,3
.rice,.,33
.ne,.,10
.lle,.,1
-e,-,44
(ve),( ),9
(rice),( ),7
‐e‐s,‐,1
(le),( ),10
.se,.,6
.que,.,1
.sses,.,4
.ice,.,1
.fe.s,.,2
.se.s,.,7
•e•s,•,1
·ne·s,·,8
·le,·,6
•rices,•,1
·ère,·,4
·rice·s,·,1
·ve,·,3
.ve,.,1
(sse),( ),2
-he-s,-,1
-soignant.e.s,- .,1
·se·s,·,7
·ice,·,5
·ices,·,1
⋅e⋅s,⋅,24
·rices,·,1
.te.s,.,17
.trice.s,.,2
-ne-,-,1
·se,·,4
-rices,-,1
.E.S,.,5
.ère.s,.,2
-se,-,2
es,,2
￿es,￿,2
-ses,-,2
(ère),( ),3
-ne,-,1
[e,[,1
],],1
(E)S,( ),1
·nes,·,6
.nes,.,1
·ne,·,7
‧les,‧,1
‑e‑s,‑,3
.euse.s,.,2
-ère,-,1
.s,.,1
.ses,.,1
(te)s,( ),1
.E,.,1
-équipier.e,- .,1
-ve,-,3
-ve-s,-,2
(es,(,2
(e)(s,( ),2
·les,·,2
-E-S,-,1
.RICE,.,1
⋅e,⋅,1
.ère,.,1
·e.s,. ·,2
·ques,·,4
