,iddoc,context,range,text,category
0,0,a) aux liens entre la santé mentale des étudiant·es en médecine et leurs compétences interp,"{'beg': 129, 'end': 140}",étudiant·es,['fle']
1,1,"sion exceptionnelle, au vu du nombre de patient·e·s atteint·e·s.","{'beg': 104, 'end': 127}",patient·e·s atteint·e·s,['fle']
2,2," données disponibles, pour informer les patient(e)s pris(es) en charge et adapter les pratiques d’AM","{'beg': 106, 'end': 126}",patient(e)s pris(es),['fle']
3,3,e l’engagement d’étudiant·e·s auprès de patient·e·s souffrant de COVID-19 devrait se faire ,"{'beg': 57, 'end': 68}",patient·e·s,['fle']
4,3,Il est rappelé que l’engagement d’étudiant·e·s auprès de patient·e·s souffrant de COVI,"{'beg': 34, 'end': 46}",étudiant·e·s,['fle']
5,4,"égrative et complémentaire en 2021, les auteur·e·s présentent une sélection de six article","{'beg': 85, 'end': 95}",auteur·e·s,['fle']
6,5,Des questions ouvertes invitaient les participant.e.s à décrire leur vécu au sein de leur cou,"{'beg': 38, 'end': 53}",participant.e.s,['fle']
7,6,"s du savoir scientifique et permettre à tout(e) étudiant(e) d'aller au bout de ses possibilités, av","{'beg': 133, 'end': 152}",tout(e) étudiant(e),['fle']
8,7,ications pour la communication avec les patient·e·s allophones et du vapotage dans l’arrêt ,"{'beg': 78, 'end': 89}",patient·e·s,['fle']
9,8,"el, maltraitant pour les animaux et les salarié·e·s.","{'beg': 65, 'end': 76}",salarié·e·s,['fle']
10,9,Une étape (de diplôme) est ce à quoi l'étudiant·e s'inscrit.,"{'beg': 39, 'end': 49}",étudiant·e,['fle']
11,10,"ercie les enseignants, les professeurs, celles et ceux qui consacrent le meilleur de leur vie ","{'beg': 46, 'end': 60}",celles et ceux,['coo']
12,11,"Madame, Monsieur, cette élection est d'une extrême impor","{'beg': 0, 'end': 16}","Madame, Monsieur",['coo']
13,12,"conde visite, fixée d'un commun accord, cet.te agent.e viendra les reprendre.","{'beg': 53, 'end': 67}",cet.te agent.e,['fle']
14,13,"Travailleuses, travailleurs, en avril 2020, pendant le premier conf","{'beg': 0, 'end': 27}","Travailleuses, travailleurs",['coo']
15,13,"e rappeler que le pays avait tenu grâce à celles et ceux ""que nos économies reconnaissent et rém","{'beg': 150, 'end': 166}",à celles et ceux,['coo']
16,14,me riche en acides gras oméga 3 chez la personne âgée et/ou à haut risque cardiovasculai,"{'beg': 117, 'end': 125}",personne,['epi']
17,15,uter ou d’arrêter les statines chez les personnes âgées.,"{'beg': 164, 'end': 179}",personnes âgées,['epi']
18,16,"onibles, tant d'énergie, de solidarité, d'hommes et de femmes qui veulent travailler, être utiles et ","{'beg': 79, 'end': 100}",d'hommes et de femmes,['coo']
19,17,"r essentiel pour la prise en charge des patient-e-s en milieu psychiatrique, il est donc pr","{'beg': 81, 'end': 92}",patient-e-s,['fle']
20,17,"primordial d’offrir des conditions à ce personnel afin de garantir la qualité des soins, ","{'beg': 170, 'end': 179}",personnel,['epi']
21,18,"pu voir au-cours de cette brève visite, celles et ceux qui tiennent les stands, celles et ceux","{'beg': 62, 'end': 76}",celles et ceux,['coo']
22,18,"celles et ceux qui tiennent les stands, celles et ceux qui organisent les visites, celles et c","{'beg': 102, 'end': 116}",celles et ceux,['coo']
23,18,"les et ceux qui organisent les visites, celles et ceux qui ont conçu, organisé, ont droit à la","{'beg': 145, 'end': 159}",celles et ceux,['coo']
24,19,"pharmacologique le plus adapté à chaque patient·e, à la lumière des nouveautés 2021 dans ","{'beg': 132, 'end': 141}",patient·e,['fle']
25,20,Je respecterai chacune et chacun d'entre vous.,"{'beg': 15, 'end': 32}",chacune et chacun,['coo']
26,21,Ils peuvent être utilisés par les patient-e-s avant/après la consultation ou avec le-,"{'beg': 34, 'end': 45}",patient-e-s,['fle']
27,21,ant/après la consultation ou avec le-la professionnel-le de santé durant la consultation.,"{'beg': 88, 'end': 104}",professionnel-le,['fle']
28,21,e-s avant/après la consultation ou avec le-la professionnel-le de santé durant la con,"{'beg': 82, 'end': 87}",le-la,['coo']
29,22,"ite la supervision centrée sur la ou le clinicien·ne, utilisée aujourd’hui à titre explorato","{'beg': 54, 'end': 66}",clinicien·ne,['fle']
30,23,Si nombreuses et nombreux sont les salariés qui souhaitent s'arrê,"{'beg': 3, 'end': 25}",nombreuses et nombreux,['coo']
31,24,evues pour documenter la façon dont les participant(e)s interprètent les VVPH et se positionnen,"{'beg': 153, 'end': 168}",participant(e)s,['fle']
32,25,"Martiniquaises, Martiniquais, me voici donc à la Martinique où perso","{'beg': 0, 'end': 28}","Martiniquaises, Martiniquais",['coo']
33,26,"Giorgia Marras, jeune autrice italienne

Giorgia Marras, illustratric","{'beg': 22, 'end': 29}",autrice,['fem']
34,26,"ienne

Giorgia Marras, illustratrice et auteure de bande dessinée, est née à Gênes en I","{'beg': 74, 'end': 81}",auteure,['fem']
35,27,"Demain, al fera beau sur toute la France avec des ","{'beg': 8, 'end': 10}",al,['neu']
