text,occ,annotation
France,7370,False
france,328,False
Nicole,116,False
Louise,114,False
auteure,103,True
lingettes,87,False
Institute,71,False
Lingettes,67,False
Bourges,58,False
Juliette,55,False
Villette,49,False
Estate,42,False
Private,38,False
professeure,37,True
beurette,31,
autrice,31,True
Denise,29,False
engine,27,False
Chinese,27,False
create,24,False
Engine,23,False
Climate,21,False
Valentine,21,False
amatrice,21,True
Jacquière,21,False
Candice,20,False
Create,19,False
Troyes,19,False
Odette,19,False
private,17,False
Coline,17,False
aucunes,16,False
Canaries,16,False
Brière,15,False
Professeure,14,True
entrepreneure,14,True
Torres,14,False
Gonesse,14,False
lingette,13,False
increase,13,False
Piemonte,13,False
écrivaine,13,True
Mariette,12,False
Paradise,12,False
Sylvette,12,False
Archie,12,False
juliette,11,False
Cheffe,11,True
autrices,11,True
Cristie,11,False
Auteure,10,True
prices,10,False
Rochette,10,False
Grizzlies,10,False
Etrangères,10,True
Chartrettes,10,False
climate,9,False
Lingette,9,False
cheffe,9,True
Stromae,9,False
integrate,9,False
Prices,8,False
docteure,8,True
attributes,8,False
Caïmanes,8,False
Maltese,8,False
écrivaines,8,True
Nativee,8,False
Ginette,8,False
Beurette,7,
frances,7,False
beurettes,7,
entrepreneures,7,True
Anglo-Normandes,7,False
Choice,6,False
Universe,6,False
chamane,6,True
certifiantes,6,False
ingénieure,6,True
choices,6,False
Cesare,6,False
institute,5,False
Autrice,5,True
graduate,5,False
Echoes,5,False
auteures,5,True
durante,5,False
Castellane,5,False
accelerate,5,False
Henriette,5,False
Gentile,5,False
Giresse,5,False
Frances,4,False
certificate,4,False
Professeures,4,True
aussie,4,False
kinette,4,False
référente,4,True
certifiante,4,False
Déchiqueteuses,4,False
Emirates,4,False
Associate,4,False
bluffante,4,False
règlemente,4,False
alternate,4,False
chamanes,4,True
Manoire,4,False
chercheure,4,True
influenzae,4,False
Etagère,4,False
Etagères,4,False
nicole,3,False
bourges,3,False
estate,3,False
troyes,3,False
professeures,3,True
longère,3,False
Baumettes,3,False
maline,3,False
professionnalisantes,3,False
Radiate,3,False
colone,3,False
européenes,3,False
ultra-libérale,3,False
lesbiene,3,False
appreciate,3,False
Calmette,3,False
choires,3,False
identifiantes,3,False
appropriate,3,False
deliberate,3,False
certificates,3,False
solairese,3,False
sud-américaine,3,False
Intersexe,3,False
Frenette,3,False
Lachaise,3,False
Laurette,3,False
operate,3,False
Discutante,3,False
Damase,3,False
Charie,3,False
Bâtonnière,3,False
Levine,3,False
louise,2,False
valentine,2,False
Matire,2,False
Businesses,2,False
Docteure,2,True
briochettes,2,False
Chamane,2,True
universe,2,False
Certifiantes,2,False
Aussie,2,False
Kinette,2,False
Affiliate,2,False
affiliate,2,False
Longueure,2,False
Tenore,2,False
terminate,2,False
Berlinette,2,False
Validate,2,False
planquette,2,False
différenciante,2,False
Bramante,2,False
tiraillantes,2,False
Plantae,2,False
Haguette,2,False
crissante,2,False
chineese,2,False
posantes,2,False
concasseures,2,False
activitée,2,False
Brooke,2,False
Incase,2,False
finishes,2,False
Cordesse,2,False
vampiresse,2,True
difficultées,2,False
grossire,2,False
occultantes,2,False
Pistone,2,False
cyprine,2,False
Refugee,2,False
participate,2,False
Millette,2,False
Ecrivaines,2,True
rapporteure,2,True
Veloutante,2,False
zappée,2,False
Récupe,2,False
roises,2,False
Friquette,2,False
torres,1,False
Auteures,1,True
Durante,1,False
donate,1,False
berlinette,1,False
médico-sociales,1,False
separate,1,False
Touillettes,1,False
touillettes,1,False
Parisiense,1,False
parisiense,1,False
Estimate,1,False
estimate,1,False
Resolute,1,False
nourrite,1,False
sus-jacentes,1,False
nouveautée,1,False
Resultate,1,False
reminéralisante,1,False
contrôlante,1,False
couleures,1,False
assesses,1,False
robinettes,1,False
activate,1,False
atlases,1,False
aumonières,1,False
Jeanette,1,False
Isolate,1,False
avant-dernières,1,False
Treizaine,1,False
différenciantes,1,False
trottinante,1,False
politese,1,False
dimensiones,1,False
accumulate,1,False
Bretones,1,False
Bridgette,1,False
curate,1,False
Savone,1,False
amatrices,1,True
cochone,1,
blousières,1,False
étayantes,1,False
franco-allemandes,1,False
raises,1,False
chinesse,1,False
accompagnante,1,True
mineraie,1,False
défenseuses,1,True
superviseure,1,True
tierses,1,False
tarante,1,False
professionnalisante,1,False
Minote,1,False
Solene,1,False
transigée,1,False
annéees,1,False
ouïgoure,1,False
Regione,1,False
protette,1,False
Crotone,1,False
Porcheresse,1,False
malette,1,False
malettes,1,False
Muraillette,1,False
Arantes,1,False
anglo-américaines,1,False
texturisante,1,False
jugeantes,1,False
Victorine,1,False
divisione,1,False
congelatione,1,False
conglutinatione,1,False
billère,1,False
Montse,1,False
protese,1,False
abattantes,1,False
clipse,1,False
occultante,1,False
gallinette,1,False
Pulverisette,1,False
Giguère,1,False
Louisette,1,False
matante,1,False
volontée,1,False
diffèrentes,1,False
Grease,1,False
Sanhédrine,1,False
remplire,1,False
simulatione,1,False
equipere,1,False
Tommee,1,False
moudjahidine,1,False
bombardière,1,True
Cervières,1,False
Bizette,1,False
garantire,1,False
Plumette,1,False
sensori-motrice,1,False
précurseuses,1,True
Levente,1,False
camionette,1,False
mûresse,1,False
Chimpanzee,1,False
kiffes,1,False
manifes,1,False
Battice,1,False
animae,1,False
feuillettee,1,False
Benesse,1,False
Bulbee,1,False
Syndicate,1,False
autobloquantes,1,False
