,iddoc,context,range,text,category
0,0,nt une semaine afin de sensibiliser les personnes diabétiques à l’importance de contrôles,"{'beg': 132, 'end': 141}",personnes,['epi']
1,1,"ses, tels l’enseignement de la relation soignant·e-soigné·e, des supervisions ou le soutie","{'beg': 94, 'end': 104}",soignant·e,['fle']
2,1,"’enseignement de la relation soignant·e-soigné·e, des supervisions ou le soutien d’équip","{'beg': 105, 'end': 113}",soigné·e,['fle']
3,2,"Madame, Monsieur,

L'INSEE procède chaque année au recen","{'beg': 0, 'end': 16}","Madame, Monsieur",['coo']
4,3,"Aux femmes et aux hommes du Bassin minier, parce que je les resp","{'beg': 0, 'end': 24}",Aux femmes et aux hommes,['coo']
5,4,"Sur les 494 personnes dépistées, 46 % n’avaient pas eu de con","{'beg': 12, 'end': 21}",personnes,['epi']
6,5,aide à la décision (AD) soutiennent les patient-e-s dans leurs choix médicaux en majorant l,"{'beg': 53, 'end': 64}",patient-e-s,['fle']
7,6,"Alors, au nom des Françaises et des Français, je voudrais vous exprimer de tout coeu","{'beg': 14, 'end': 44}",des Françaises et des Français,['coo']
8,6,s et tous les Européens pour le travail de celles et de ceux qui se sont associés à ce superbe résul,"{'beg': 225, 'end': 245}",de celles et de ceux,['coo']
9,7,Mme la commissaire en cheffe de 1re classe du corps des commissaires,"{'beg': 22, 'end': 28}",cheffe,['fem']
10,7,"es des armées Catherine BOURDÈS, nommée officière générale adjointe au directeur de l'ens","{'beg': 106, 'end': 115}",officière,['fem']
11,8,"pu voir au-cours de cette brève visite, celles et ceux qui tiennent les stands, celles et ceux","{'beg': 62, 'end': 76}",celles et ceux,['coo']
12,8,"celles et ceux qui tiennent les stands, celles et ceux qui organisent les visites, celles et c","{'beg': 102, 'end': 116}",celles et ceux,['coo']
13,8,"les et ceux qui organisent les visites, celles et ceux qui ont conçu, organisé, ont droit à la","{'beg': 145, 'end': 159}",celles et ceux,['coo']
14,9,"Monsieur le Président, mesdames et messieurs les parlementaires, je ne pourrais term","{'beg': 23, 'end': 44}",mesdames et messieurs,['coo']
15,10,une activité de consultation auprès des patient·es en soins somatiques et une activité de ,"{'beg': 75, 'end': 85}",patient·es,['fle']
16,10,s et une activité de liaison auprès des clinicien·nes.,"{'beg': 144, 'end': 157}",clinicien·nes,['fle']
17,11,"Mais, pour des millions de femmes et d'hommes, ce sont de nouvelles privations insupp","{'beg': 24, 'end': 45}",de femmes et d'hommes,['coo']
18,12,"mier recours dans la prise en charge de patient·e·s avec une stéatopathie métabolique, et d","{'beg': 82, 'end': 93}",patient·e·s,['fle']
19,13,"conde visite, fixée d'un commun accord, cet.te agent.e viendra les reprendre.","{'beg': 53, 'end': 67}",cet.te agent.e,['fle']
20,14,"dus pour en tirer des conclusions, mais un•e lecteur•ice avisé-e notera que ces phénomènes globaux ne re","{'beg': 118, 'end': 142}",un•e lecteur•ice avisé-e,['fle']
21,15,"Mes chers amis, celles et ceux qui sont à l'intérieur, celles et ceux ","{'beg': 16, 'end': 30}",celles et ceux,['coo']
22,15," celles et ceux qui sont à l'intérieur, celles et ceux qui sont au dehors, car je m'excuse aup","{'beg': 55, 'end': 69}",celles et ceux,['coo']
23,16,Révocabilité des élu·e·s.,"{'beg': 17, 'end': 24}",élu·e·s,['fle']
24,17,Ils peuvent être utilisés par les patient-e-s avant/après la consultation ou avec le-,"{'beg': 34, 'end': 45}",patient-e-s,['fle']
25,17,ant/après la consultation ou avec le-la professionnel-le de santé durant la consultation.,"{'beg': 88, 'end': 104}",professionnel-le,['fle']
26,17,e-s avant/après la consultation ou avec le-la professionnel-le de santé durant la con,"{'beg': 82, 'end': 87}",le-la,['coo']
27,18,ications pour la communication avec les patient·e·s allophones et du vapotage dans l’arrêt ,"{'beg': 78, 'end': 89}",patient·e·s,['fle']
28,19,"Demain, al fera beau sur toute la France avec des ","{'beg': 8, 'end': 10}",al,['neu']
29,20,Les auteur·e·s donnent ainsi un aperçu de l’éventail d,"{'beg': 4, 'end': 14}",auteur·e·s,['fle']
30,21, porte aussi son attention sur le ou la clinicien·ne facilite et enrichit la rencontre clini,"{'beg': 100, 'end': 112}",clinicien·ne,['fle']
31,22," données disponibles, pour informer les patient(e)s pris(es) en charge et adapter les pratiques d’AM","{'beg': 106, 'end': 126}",patient(e)s pris(es),['fle']
32,23,Chaque individu-e-x le souhaitant devrait avoir la possibil,"{'beg': 7, 'end': 19}",individu-e-x,['fle']
33,24,"février 2023, vous recevrez la visite d'un.e agent.e recenseur.euse recruté.e par la mairie de votre arrondissement e","{'beg': 69, 'end': 106}",un.e agent.e recenseur.euse recruté.e,['fle']
34,24,"ar la mairie de votre arrondissement et muni.e, à cet effet, d'une carte officielle.","{'beg': 148, 'end': 154}",muni.e,['fle']
